gx,gy,gz,energy
0.022432964064663857,-0.02673456551659997,0.9993908270190958,0.0007540190253509755
0.02335232139016343,-0.02593538038622899,0.9993908270190958,0.0007447332230770176
0.02424322750919847,-0.025104596989896463,0.9993908270190958,0.0007347860809688814
0.025104596989896453,-0.024243227509198485,0.9993908270190958,0.0007242260605030349
0.025935380386228984,-0.023352321390163442,0.9993908270190958,0.0007131046090376971
0.026734565516599956,-0.022432964064663868,0.9993908270190958,0.000701475909166484
0.027501178697033102,-0.02148627562798469,0.9993908270190958,0.0006893966147462547
0.02823428592745572,-0.020513409474159874,0.9993908270190958,0.0006769255748852182
0.02893299402963409,-0.019515550890739263,0.9993908270190958,0.0006641235472359925
0.029596451735373407,-0.01849391561469848,0.9993908270190958,0.00065105290199043
0.03022385072365708,-0.0174497483512505,0.9993908270190958,0.0006377773180183105
0.03081442660546129,-0.016384321257364172,0.9993908270190958,0.0006243614726302883
0.03136745985504528,-0.01529893239183699,0.9993908270190958,0.0006108707264765387
0.03188227668658269,-0.0141949041338102,0.9993908270190958,0.0005973708051162367
0.032358249875065734,-0.013073581571653755,0.9993908270190958,0.0005839274788092435
0.0327947995204823,-0.01193633086418308,0.9993908270190958,0.0005706062420900069
0.03319139375433477,-0.010784537576205247,0.9993908270190958,0.0005574719946847787
0.03354754938763985,-0.009619604990421441,0.9993908270190958,0.0005445887253266656
0.033862832499619924,-0.008442952397743392,0.9993908270190958,0.0005320192000089602
0.034136858966368686,-0.007256013368105812,0.9993908270190958,0.0005198246561955252
0.034369294928846945,-0.006060234003882339,0.9993908270190958,0.0005080645044780278
0.03455985719963844,-0.004857071178032654,0.9993908270190958,0.0004967960391335106
0.03470831360797007,-0.0036479907591269642,0.9993908270190958,0.00048607415899242873
0.03481448328257625,-0.002434465825411208,0.9993908270190958,0.00047595109997707107
0.03487823687206265,-0.001217974870087871,0.9993908270190958,0.0004664761806133933
0.0697564737441253,0.0,0.9975640502598242,0.0018285524002550015
0.06971397998507722,0.0024344658254111962,0.9975640502598242,0.0017964174273399486
0.06958655048003272,0.004865965629214842,0.9975640502598242,0.001767383737004333
0.06937434048221469,0.007291537003443835,0.9975640502598242,0.0017415927784690157
0.06907760853681702,0.009708224763009305,0.9975640502598242,0.0017191702026914803
0.06869671616600713,0.012113084546138431,0.9975640502598242,0.001700225250207007
0.06823212742846688,0.014503186401625727,0.9975640502598242,0.0016848502189197596
0.06768440835400855,0.016875618358527245,0.9975640502598242,0.001673120014436677
0.0670542262539547,0.019227489973948627,0.9975640502598242,0.001665091785134884
0.06634234890812216,0.021555935854604535,0.9975640502598242,0.0016608046437405453
0.06554964362940052,0.023858119147858983,0.9975640502598242,0.0016602794767755927
0.064677076207065,0.02613123499799329,0.9975640502598242,0.0016635188428006876
0.06372570973011102,0.028372513963490723,0.9975640502598242,0.001670506959950177
0.06269670329204399,0.03057922539117438,0.9975640502598242,0.001681209782819752
0.06159131057870238,0.03274868074308747,0.9975640502598242,0.0016955751683322361
0.06041087834083471,0.034878236872062644,0.9975640502598242,0.001713533129773414
0.05915684475329118,0.036965299241989755,0.9975640502598242,0.001734996177760275
0.057830737662829146,0.039007325088858354,0.9975640502598242,0.0017598597464804839
0.05643417272666719,0.04100182651872397,0.9975640502598242,0.0017880027031265124
0.05496885144405569,0.04294637353882373,0.9975640502598242,0.0018192879380425021
0.05343655908326208,0.04483859701814814,0.9975640502598242,0.0018535630327087228
0.05183916250649643,0.04667619157386234,0.9975640502598242,0.0018906610023092815
