lag_days,prob_condition_after_event,global_event_probability,body,lag_enrichment
42,0.036057692307692304,0.050024050024050026,Mercury,0.7208071375739644
43,0.03485576923076923,0.050024050024050026,Mercury,0.6967802329881657
44,0.03485576923076923,0.050024050024050026,Mercury,0.6967802329881657
45,0.03365384615384615,0.050024050024050026,Mercury,0.6727533284023668
46,0.03245192307692308,0.050024050024050026,Mercury,0.6487264238165681
47,0.03245192307692308,0.050024050024050026,Mercury,0.6487264238165681
48,0.03365384615384615,0.050024050024050026,Mercury,0.6727533284023668
49,0.03485576923076923,0.050024050024050026,Mercury,0.6967802329881657
50,0.03730445246690734,0.050024050024050026,Mercury,0.7457303526798111
51,0.04096385542168675,0.050024050024050026,Mercury,0.8188832252085264
52,0.04342581423401689,0.050024050024050026,Mercury,0.8680987287742414
53,0.04468599033816425,0.050024050024050026,Mercury,0.8932901337792641
54,0.04353083434099154,0.050024050024050026,Mercury,0.8701981211050135
55,0.04116222760290557,0.050024050024050026,Mercury,0.8228487614080834
56,0.03878787878787879,0.050024050024050026,Mercury,0.7753846153846153
57,0.037575757575757575,0.050024050024050026,Mercury,0.7511538461538461
58,0.03636363636363636,0.050024050024050026,Mercury,0.7269230769230769
59,0.03636363636363636,0.050024050024050026,Mercury,0.7269230769230769
60,0.03636363636363636,0.050024050024050026,Mercury,0.7269230769230769
61,0.03636363636363636,0.050024050024050026,Mercury,0.7269230769230769
62,0.037575757575757575,0.050024050024050026,Mercury,0.7511538461538461
63,0.037575757575757575,0.050024050024050026,Mercury,0.7511538461538461
64,0.037575757575757575,0.050024050024050026,Mercury,0.7511538461538461
65,0.037575757575757575,0.050024050024050026,Mercury,0.7511538461538461
66,0.03878787878787879,0.050024050024050026,Mercury,0.7753846153846153
67,0.041212121212121214,0.050024050024050026,Mercury,0.8238461538461539
68,0.044848484848484846,0.050024050024050026,Mercury,0.8965384615384614
69,0.048484848484848485,0.050024050024050026,Mercury,0.9692307692307692
70,0.05090909090909091,0.050024050024050026,Mercury,1.0176923076923077
71,0.05333333333333334,0.050024050024050026,Mercury,1.0661538461538462
72,0.05696969696969697,0.050024050024050026,Mercury,1.1388461538461538
73,0.05818181818181818,0.050024050024050026,Mercury,1.1630769230769231
74,0.06060606060606061,0.050024050024050026,Mercury,1.2115384615384615
75,0.06181818181818182,0.050024050024050026,Mercury,1.2357692307692307
76,0.06303030303030303,0.050024050024050026,Mercury,1.26
77,0.06424242424242424,0.050024050024050026,Mercury,1.284230769230769
78,0.06545454545454546,0.050024050024050026,Mercury,1.3084615384615386
79,0.06545454545454546,0.050024050024050026,Mercury,1.3084615384615386
80,0.06424242424242424,0.050024050024050026,Mercury,1.284230769230769
81,0.06303030303030303,0.050024050024050026,Mercury,1.26
82,0.06181818181818182,0.050024050024050026,Mercury,1.2357692307692307
83,0.06181818181818182,0.050024050024050026,Mercury,1.2357692307692307
84,0.06181818181818182,0.050024050024050026,Mercury,1.2357692307692307
85,0.06181818181818182,0.050024050024050026,Mercury,1.2357692307692307
86,0.06181818181818182,0.050024050024050026,Mercury,1.2357692307692307
87,0.06303030303030303,0.050024050024050026,Mercury,1.26
88,0.06545454545454546,0.050024050024050026,Mercury,1.3084615384615386
89,0.06909090909090909,0.050024050024050026,Mercury,1.3811538461538462
90,0.0703030303030303,0.050024050024050026,Mercury,1.4053846153846152
91,0.07151515151515152,0.050024050024050026,Mercury,1.4296153846153845
92,0.07272727272727272,0.050024050024050026,Mercury,1.4538461538461538
93,0.07272727272727272,0.050024050024050026,Mercury,1.4538461538461538
